"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","R","G","B","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","35.23","0.352","0.352","69.5","56.9","40.0","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","35.73","0.357","0.357","72.0","58.3","40.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","36.23","0.362","0.362","72.0","58.8","41.3","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","36.73","0.367","0.367","67.6","55.5","39.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","37.23","0.372","0.372","68.3","56.1","40.3","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","37.73","0.377","0.377","61.8","50.6","36.3","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","38.23","0.382","0.382","56.5","47.0","34.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","38.73","0.387","0.387","51.3","42.6","31.0","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","39.23","0.392","0.392","55.0","46.5","34.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","39.73","0.397","0.397","53.4","45.1","33.5","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","40.23","0.402","0.402","63.6","53.8","39.9","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","40.73","0.407","0.407","66.2","54.7","39.4","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","41.23","0.412","0.412","76.6","64.3","47.5","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","41.73","0.417","0.417","70.8","58.8","42.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","42.23","0.422","0.422","69.2","56.6","40.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","42.73","0.427","0.427","65.1","53.4","38.2","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","43.23","0.432","0.432","60.5","50.3","36.5","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","43.73","0.437","0.437","68.0","56.7","41.1","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","44.23","0.442","0.442","62.8","52.1","37.6","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","44.73","0.447","0.447","65.5","55.3","40.9","2016-02-16 17:33:22","CV-L107C-L170542B","SHIL","SHLF7638011","95479121","Auto-Log Split Section"
