"Exp","Site","Hole","Core","Type","Sect","A/W","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","Reflectance L*","Reflectance a*","Reflectance b*","Tristimulus X","Tristimulus Y","Tristimulus Z","Normalized spectral data link","Unnormalized spectral data link","Timestamp (UTC)","Instrument","Instrument group","Text ID","Test No.","Comments"
"361","U1474","F","1","H","1","A","64.2","0.642","0.642","40.63","2.87","7.89","11.43","11.64","9.71","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","64.4","0.644","0.644","40.05","2.64","7.64","11.05","11.28","9.46","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","64.6","0.646","0.646","38.03","2.01","5.9","9.83","10.11","8.92","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","64.8","0.648","0.648","36.61","1.62","6.46","9.04","9.33","8.02","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","65.0","0.650","0.650","38.53","1.73","6.6","10.07","10.39","8.97","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","65.2","0.652","0.652","39.59","2.09","6.18","10.71","11.01","9.68","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","65.4","0.654","0.654","39.2","2.22","6.08","10.51","10.78","9.49","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","65.6","0.656","0.656","39.77","2.4","6.01","10.85","11.11","9.83","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","65.8","0.658","0.658","39.28","2.28","6.2","10.56","10.82","9.5","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","66.0","0.660","0.660","39.96","2.36","6.2","10.96","11.23","9.88","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","66.2","0.662","0.662","41.01","2.56","6.03","11.61","11.87","10.54","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","66.4","0.664","0.664","41.18","2.63","6.32","11.73","11.98","10.55","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","66.6","0.666","0.666","40.95","2.68","6.29","11.59","11.83","10.42","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
"361","U1474","F","1","H","1","A","66.8","0.668","0.668","40.84","2.7","6.18","11.53","11.77","10.39","","","2016-02-21 13:49:21","USB4000-VIS-RF52054","SHMSL","SHLF7638011","95755161","Auto-Log Split Section"
